customer_id,total_previous_invoices,previous_paid_invoices,previous_late_invoices,previous_unresolved_invoices,avg_payment_delay_days,disputes_count,reminders_sent,reminders_responded,previous_payment_failures,invoice_amount,days_overdue,recovered
CUST_00050,10,4,5,1,1.3,4,4,0,2,100000,10,0
CUST_00051,15,2,9,4,22.9,2,4,0,3,250000,41,0
CUST_00052,28,6,3,19,2.1,1,3,2,2,50000,30,0
CUST_00053,17,9,0,8,25.6,1,5,4,1,100000,11,0
CUST_00054,5,3,2,0,24.3,1,3,0,5,50000,8,0
CUST_00055,29,28,0,1,23.4,3,3,2,3,25000,30,0
CUST_00056,13,11,0,2,9.2,5,0,0,4,50000,30,0
CUST_00057,6,0,3,3,24.2,1,0,0,5,100000,52,0
CUST_00058,22,11,1,10,15.7,4,4,3,4,50000,26,0
CUST_00059,23,15,0,8,25.6,2,2,0,4,100000,22,0
CUST_00060,21,18,3,0,29.6,3,4,1,0,10000,47,0
CUST_00061,6,4,2,0,17.2,5,3,1,1,250000,33,0
CUST_00062,20,14,2,4,12.8,3,0,0,1,250000,13,0
CUST_00063,27,25,1,1,29.5,2,5,1,0,50000,14,0
CUST_00064,7,3,4,0,1.7,2,4,1,0,50000,38,0
CUST_00065,22,5,2,15,28.5,0,2,1,2,10000,44,0
CUST_00066,8,8,0,0,9.5,2,1,1,0,250000,21,1
CUST_00067,29,16,8,5,3.1,3,1,1,3,100000,14,1
CUST_00068,23,14,9,0,21.2,2,5,1,4,10000,41,0
CUST_00069,17,4,13,0,20.5,3,4,0,5,50000,9,0
CUST_00070,27,17,9,1,29.7,3,5,4,2,25000,40,0
CUST_00071,28,2,26,0,12.0,5,3,1,3,50000,36,0
CUST_00072,7,5,2,0,23.2,4,0,0,2,10000,24,0
CUST_00073,9,0,1,8,2.4,1,1,1,5,100000,32,0
CUST_00074,12,3,3,6,21.5,2,2,0,3,500000,1,0
CUST_00075,10,7,2,1,25.6,3,5,0,1,75000,7,0
CUST_00076,19,9,3,7,8.7,3,2,0,2,250000,47,0
CUST_00077,8,0,8,0,8.7,0,3,0,2,500000,59,0
CUST_00078,9,9,0,0,7.1,0,2,1,5,10000,9,0
CUST_00079,17,7,5,5,22.7,5,0,0,3,250000,40,0
CUST_00080,19,0,9,10,5.6,2,2,0,5,75000,31,0
CUST_00081,6,1,2,3,22.0,3,2,1,2,10000,5,0
CUST_00082,14,0,12,2,23.9,1,2,2,1,250000,9,0
CUST_00083,9,3,0,6,26.8,5,5,4,2,75000,18,0
CUST_00084,26,15,6,5,6.1,1,2,0,5,500000,36,0
CUST_00085,18,14,2,2,27.2,5,4,2,1,250000,51,0
CUST_00086,19,11,4,4,17.6,2,0,0,0,500000,45,0
CUST_00087,9,2,4,3,17.5,3,5,4,5,50000,15,0
CUST_00088,7,4,1,2,15.0,5,3,1,1,75000,3,0
CUST_00089,28,28,0,0,7.3,3,5,1,0,100000,40,0
CUST_00090,28,21,3,4,1.3,5,5,3,3,500000,49,0
CUST_00091,23,5,17,1,21.4,1,5,3,2,500000,37,0
CUST_00092,27,18,8,1,26.8,3,5,4,4,100000,34,0
CUST_00093,5,4,1,0,27.0,1,5,0,0,10000,20,0
CUST_00094,15,1,8,6,22.2,1,1,1,5,75000,9,0
CUST_00095,21,8,0,13,16.4,0,0,0,5,500000,53,0
CUST_00096,17,12,2,3,27.3,1,1,1,2,100000,2,1
CUST_00097,13,2,2,9,7.1,4,2,1,2,500000,37,0
CUST_00098,30,21,1,8,20.2,3,5,5,5,250000,46,0
CUST_00099,18,6,0,12,5.8,5,2,2,3,500000,33,0
CUST_00100,7,7,0,0,22.3,2,5,5,3,50000,55,0
CUST_00101,12,8,4,0,16.9,0,1,0,4,250000,56,0
CUST_00102,24,13,0,11,3.5,0,4,1,2,50000,52,0
CUST_00103,9,6,0,3,23.2,1,4,0,0,50000,15,0
CUST_00104,24,14,7,3,20.9,1,4,0,0,100000,40,0
CUST_00105,26,17,1,8,2.4,4,1,0,0,100000,57,0
CUST_00106,18,14,2,2,11.8,1,1,1,4,500000,60,0
CUST_00107,28,1,13,14,15.5,2,3,0,4,75000,2,0
CUST_00108,26,17,7,2,15.9,2,1,1,2,100000,59,1
CUST_00109,26,3,16,7,15.7,5,1,1,1,50000,15,0
CUST_00110,26,8,16,2,26.2,1,4,1,5,500000,7,0
CUST_00111,21,12,2,7,8.2,5,3,2,1,10000,27,0
CUST_00112,23,0,9,14,25.6,3,5,1,5,500000,26,0
CUST_00113,20,16,1,3,5.0,4,1,0,3,50000,55,0
CUST_00114,17,8,4,5,6.9,3,0,0,1,250000,8,0
CUST_00115,10,1,7,2,11.7,0,5,5,2,10000,35,0
CUST_00116,7,2,4,1,17.5,0,0,0,0,250000,55,0
CUST_00117,24,11,0,13,0.9,1,1,0,1,500000,52,0
CUST_00118,10,2,2,6,27.2,4,0,0,3,10000,45,0
CUST_00119,15,11,3,1,19.9,2,5,2,3,500000,42,0
CUST_00120,14,3,9,2,11.7,5,0,0,4,100000,5,0
CUST_00121,16,10,2,4,17.6,4,1,1,1,100000,55,0
CUST_00122,10,0,0,10,1.6,5,0,0,4,100000,26,0
CUST_00123,25,20,5,0,24.1,1,2,1,5,75000,39,0
CUST_00124,16,3,9,4,23.3,2,2,1,1,100000,53,0
CUST_00125,7,7,0,0,20.1,0,1,0,2,100000,8,0
CUST_00126,25,4,2,19,21.5,0,4,1,0,500000,20,0
CUST_00127,26,0,24,2,20.8,3,0,0,0,100000,0,0
CUST_00128,9,2,7,0,2.0,5,3,0,2,75000,6,0
CUST_00129,15,8,1,6,26.5,5,2,0,2,100000,54,0
CUST_00130,28,22,5,1,23.6,3,5,0,2,100000,53,0
CUST_00131,24,3,11,10,18.1,3,5,2,5,10000,28,0
CUST_00132,26,16,2,8,16.2,5,4,1,0,250000,8,0
CUST_00133,21,16,1,4,7.7,3,5,5,2,100000,44,1
CUST_00134,13,8,5,0,9.6,1,1,1,3,100000,44,0
CUST_00135,21,15,4,2,4.8,4,2,2,5,100000,32,0
CUST_00136,20,16,3,1,19.1,0,5,1,0,50000,10,1
CUST_00137,19,8,8,3,13.6,4,3,3,3,50000,25,0
CUST_00138,23,11,7,5,21.8,1,5,0,3,100000,38,0
CUST_00139,12,6,6,0,29.6,5,2,2,4,75000,54,0
CUST_00140,9,2,4,3,15.2,4,2,2,1,500000,15,0
CUST_00141,25,25,0,0,15.1,5,1,1,5,500000,5,0
CUST_00142,27,19,1,7,20.6,5,3,3,2,10000,33,0
CUST_00143,24,3,3,18,22.7,3,3,1,2,75000,50,0
CUST_00144,29,5,6,18,15.3,5,3,2,4,500000,44,0
CUST_00145,17,8,7,2,27.2,4,4,1,0,500000,58,0
CUST_00146,7,4,1,2,9.3,4,2,1,4,50000,37,0
CUST_00147,8,4,2,2,0.4,3,3,3,3,50000,2,1
CUST_00148,11,9,2,0,3.1,5,0,0,0,50000,44,0
CUST_00149,19,4,8,7,13.7,0,1,0,2,10000,41,0
CUST_00150,13,4,9,0,22.3,4,3,0,4,500000,51,0
CUST_00151,27,23,3,1,19.5,0,0,0,1,50000,6,1
CUST_00152,13,12,1,0,1.4,3,3,0,1,500000,16,1
CUST_00153,27,25,2,0,1.1,5,2,0,1,500000,28,0
CUST_00154,11,6,5,0,22.9,4,0,0,3,10000,17,0
CUST_00155,27,24,1,2,20.5,0,3,0,1,10000,56,0
CUST_00156,14,0,6,8,24.8,0,3,2,2,25000,28,0
CUST_00157,17,1,15,1,18.1,2,4,0,4,250000,0,0
CUST_00158,29,0,1,28,25.1,5,2,1,1,100000,40,0
CUST_00159,28,28,0,0,11.2,2,1,1,1,500000,21,0
CUST_00160,26,19,2,5,16.2,0,5,1,5,25000,3,0
CUST_00161,20,20,0,0,5.4,0,3,1,4,100000,27,1
CUST_00162,7,0,2,5,24.0,5,5,4,3,250000,4,0
CUST_00163,26,5,13,8,5.1,2,2,2,4,500000,46,0
CUST_00164,19,6,5,8,14.4,2,1,1,4,500000,31,0
CUST_00165,26,7,16,3,26.1,2,3,2,2,500000,14,0
CUST_00166,28,5,0,23,16.7,3,5,3,4,250000,18,0
CUST_00167,9,9,0,0,9.0,0,5,5,3,75000,4,1
CUST_00168,7,2,1,4,5.2,0,4,2,4,25000,53,0
CUST_00169,21,10,9,2,24.8,1,2,0,1,25000,51,0
CUST_00170,23,2,14,7,1.2,1,5,2,1,250000,41,0
CUST_00171,15,11,4,0,18.4,5,0,0,3,500000,0,0
CUST_00172,18,0,14,4,17.8,4,5,2,5,10000,46,0
CUST_00173,23,21,0,2,9.0,5,4,0,3,25000,10,0
CUST_00174,30,26,1,3,18.4,4,0,0,2,500000,36,0
CUST_00175,29,7,20,2,19.2,0,3,0,3,25000,15,0
CUST_00176,16,7,3,6,1.0,4,5,3,0,100000,30,1
CUST_00177,26,20,2,4,0.1,3,1,1,0,100000,16,1
CUST_00178,9,7,1,1,20.6,3,3,0,0,500000,13,0
CUST_00179,19,0,14,5,14.5,2,0,0,3,25000,2,0
CUST_00180,7,5,2,0,3.2,4,5,0,5,500000,35,0
CUST_00181,10,10,0,0,8.8,2,1,0,0,10000,47,0
CUST_00182,14,13,0,1,3.8,1,2,1,3,10000,17,1
CUST_00183,22,22,0,0,28.1,0,3,3,5,50000,1,1
CUST_00184,17,17,0,0,9.7,5,5,1,0,500000,5,0
CUST_00185,28,19,5,4,18.4,0,1,0,5,10000,13,0
CUST_00186,20,10,5,5,18.0,0,1,1,4,100000,29,1
CUST_00187,17,11,2,4,5.2,1,3,2,1,250000,9,1
CUST_00188,20,5,3,12,21.2,3,1,1,3,500000,6,0
CUST_00189,6,3,1,2,29.9,1,5,3,4,500000,32,0
CUST_00190,6,1,1,4,2.1,1,1,0,2,500000,13,0
CUST_00191,27,25,0,2,0.8,0,4,4,4,50000,35,1
CUST_00192,7,3,0,4,29.4,4,0,0,3,250000,40,0
CUST_00193,23,6,2,15,5.6,0,3,2,3,75000,57,0
CUST_00194,19,2,1,16,23.4,1,5,2,5,75000,18,0
CUST_00195,25,18,1,6,16.3,0,0,0,5,10000,33,0
CUST_00196,15,8,6,1,24.5,5,2,0,2,25000,23,0
CUST_00197,7,0,0,7,6.1,0,3,3,2,25000,59,0
CUST_00198,23,17,2,4,24.3,3,0,0,5,500000,51,0
CUST_00199,17,13,2,2,12.2,1,3,2,0,10000,19,1
CUST_00200,14,11,3,0,17.5,2,5,4,2,250000,1,1
CUST_00201,7,1,4,2,4.0,3,3,0,3,75000,48,0
CUST_00202,12,2,7,3,28.4,4,5,4,5,50000,44,0
CUST_00203,29,13,12,4,27.5,1,3,1,0,250000,33,0
CUST_00204,7,4,2,1,0.0,3,2,2,1,50000,49,0
CUST_00205,29,1,6,22,23.6,3,3,3,2,50000,51,0
CUST_00206,18,12,3,3,11.7,3,4,1,0,75000,48,0
CUST_00207,15,5,10,0,16.1,3,3,1,2,25000,8,0
CUST_00208,9,6,1,2,10.9,2,3,0,3,25000,25,0
CUST_00209,26,2,18,6,6.4,0,2,1,2,50000,24,0
CUST_00210,5,2,1,2,24.6,3,2,1,0,500000,39,0
CUST_00211,10,9,0,1,28.9,3,4,4,2,500000,40,0
CUST_00212,20,15,5,0,17.7,0,1,1,3,250000,13,1
CUST_00213,5,4,1,0,1.3,2,1,1,3,10000,45,1
CUST_00214,16,1,6,9,8.3,1,0,0,4,50000,52,0
CUST_00215,28,1,0,27,14.2,3,3,1,1,25000,23,0
CUST_00216,9,1,2,6,24.2,5,3,1,0,250000,35,0
CUST_00217,12,3,1,8,6.9,5,3,3,1,250000,45,0
CUST_00218,11,9,2,0,27.8,2,0,0,4,500000,12,0
CUST_00219,30,14,9,7,27.3,5,3,1,4,100000,14,0
CUST_00220,6,5,0,1,18.8,3,4,0,2,250000,23,0
CUST_00221,17,2,1,14,29.9,1,3,1,1,100000,56,0
CUST_00222,25,18,1,6,12.3,0,5,3,3,500000,36,0
CUST_00223,21,19,2,0,17.4,0,0,0,4,75000,10,1
CUST_00224,14,3,2,9,15.3,5,5,2,1,50000,52,0
CUST_00225,27,15,11,1,28.3,3,2,1,0,250000,25,0
CUST_00226,23,18,2,3,3.5,4,2,1,4,100000,48,0
CUST_00227,21,14,3,4,29.8,1,3,1,0,10000,33,0
CUST_00228,27,5,8,14,4.7,2,5,1,2,75000,0,0
CUST_00229,15,6,6,3,27.3,2,0,0,3,25000,40,0
CUST_00230,20,19,0,1,14.8,0,4,2,0,250000,16,1
CUST_00231,30,7,7,16,25.4,3,2,1,1,25000,5,0
CUST_00232,22,5,3,14,5.0,5,3,1,2,10000,5,0
CUST_00233,10,10,0,0,27.7,5,3,0,4,100000,19,0
CUST_00234,17,11,0,6,22.1,4,0,0,1,25000,32,0
CUST_00235,23,20,0,3,5.2,3,2,1,4,25000,41,0
CUST_00236,17,10,1,6,27.2,4,4,0,5,50000,55,0
CUST_00237,14,14,0,0,9.8,1,2,1,4,50000,22,1
CUST_00238,19,13,4,2,1.9,1,0,0,1,100000,16,1
CUST_00239,6,0,5,1,12.9,5,1,0,4,250000,37,0
CUST_00240,29,8,17,4,19.3,1,1,0,0,500000,33,0
CUST_00241,8,4,1,3,23.8,0,5,3,3,100000,16,0
CUST_00242,26,25,0,1,27.6,2,0,0,2,500000,11,0
CUST_00243,17,16,0,1,0.0,2,2,2,4,75000,42,1
CUST_00244,8,8,0,0,11.2,0,5,0,5,250000,41,0
CUST_00245,21,0,14,7,11.7,4,1,0,1,10000,19,0
CUST_00246,10,9,0,1,0.9,5,5,5,3,25000,5,1
CUST_00247,26,25,1,0,1.7,0,1,0,0,250000,5,1
CUST_00248,27,0,10,17,13.5,4,4,2,4,50000,44,0
CUST_00249,16,9,2,5,23.6,2,4,4,3,25000,6,1
CUST_00250,20,6,13,1,9.9,2,1,1,5,500000,30,0
CUST_00251,15,14,1,0,26.7,4,3,0,1,50000,4,0
CUST_00252,29,18,11,0,11.5,1,5,3,4,250000,46,0
CUST_00253,19,16,2,1,28.0,0,1,1,3,10000,42,1
CUST_00254,30,8,11,11,19.5,4,2,0,4,100000,19,0
CUST_00255,29,27,1,1,18.2,2,2,2,4,10000,36,0
CUST_00256,6,0,3,3,19.7,4,2,0,2,25000,46,0
CUST_00257,13,5,7,1,23.2,0,4,0,4,250000,52,0
CUST_00258,20,10,7,3,24.7,5,5,5,4,250000,41,0
CUST_00259,12,8,0,4,27.3,0,0,0,0,50000,7,0
CUST_00260,17,8,3,6,2.4,4,4,1,1,75000,33,0
CUST_00261,13,0,4,9,26.0,5,4,4,0,25000,58,0
CUST_00262,5,1,4,0,20.3,0,5,4,3,100000,8,0
CUST_00263,16,5,10,1,14.8,0,0,0,3,25000,24,0
CUST_00264,18,6,3,9,8.5,4,4,4,4,500000,21,0
CUST_00265,17,8,4,5,4.5,4,5,2,1,500000,38,0
CUST_00266,10,10,0,0,13.2,4,4,3,2,500000,60,0
CUST_00267,16,10,0,6,8.0,5,5,2,2,75000,23,0
CUST_00268,15,6,3,6,5.1,4,0,0,3,10000,18,0
CUST_00269,22,19,1,2,22.4,1,3,0,3,10000,0,0
CUST_00270,14,4,3,7,12.0,2,5,4,4,100000,55,0
CUST_00271,23,1,5,17,19.7,3,0,0,5,250000,24,0
CUST_00272,13,11,0,2,29.0,0,0,0,2,100000,27,1
CUST_00273,12,4,8,0,9.3,1,4,3,4,75000,51,0
CUST_00274,16,1,6,9,15.8,5,2,2,3,10000,15,0
CUST_00275,21,4,15,2,15.1,0,4,0,0,10000,18,0
CUST_00276,5,3,1,1,18.2,4,5,3,4,75000,38,0
CUST_00277,18,13,4,1,28.2,5,4,1,5,25000,37,0
CUST_00278,30,1,9,20,23.5,2,1,0,2,100000,19,0
CUST_00279,13,0,13,0,26.1,3,3,3,1,50000,25,0
CUST_00280,25,15,3,7,17.6,0,0,0,1,75000,4,1
CUST_00281,12,2,10,0,15.9,3,3,1,0,100000,8,0
CUST_00282,10,3,6,1,6.2,0,1,1,2,250000,2,1
CUST_00283,27,17,4,6,20.7,3,5,2,3,250000,21,0
CUST_00284,19,4,15,0,17.3,1,2,1,3,100000,11,0
CUST_00285,28,10,7,11,4.6,5,0,0,3,50000,43,0
CUST_00286,14,6,2,6,8.7,2,1,1,4,75000,9,0
CUST_00287,9,7,0,2,26.3,1,0,0,1,250000,19,0
CUST_00288,25,7,16,2,7.7,0,0,0,0,75000,22,0
CUST_00289,26,3,5,18,5.5,0,1,1,4,75000,59,1
CUST_00290,9,1,2,6,23.3,1,4,2,0,10000,39,0
CUST_00291,29,4,19,6,22.6,0,1,0,1,50000,5,0
CUST_00292,14,3,10,1,1.2,1,5,1,2,500000,16,0
CUST_00293,8,7,0,1,6.6,1,2,0,1,25000,33,0
CUST_00294,17,6,9,2,1.3,5,2,2,4,500000,55,0
CUST_00295,17,5,9,3,19.1,5,4,3,1,100000,49,0
CUST_00296,23,20,2,1,17.3,4,4,3,5,250000,53,0
CUST_00297,21,12,7,2,6.7,0,4,0,0,25000,56,1
CUST_00298,29,2,25,2,23.4,4,4,1,3,500000,50,0
CUST_00299,5,1,3,1,17.6,4,4,0,2,75000,14,0
CUST_00300,23,10,8,5,16.0,3,5,4,4,100000,50,0
CUST_00301,28,15,6,7,10.6,2,5,3,2,50000,24,0
CUST_00302,7,4,0,3,4.0,3,5,0,4,100000,41,0
CUST_00303,27,23,1,3,13.6,1,4,3,4,100000,45,1
CUST_00304,12,9,3,0,7.6,0,0,0,0,50000,19,1
CUST_00305,14,7,4,3,25.0,1,5,4,2,10000,1,0
CUST_00306,23,8,10,5,15.8,3,4,2,2,25000,16,0
CUST_00307,9,2,7,0,8.4,3,2,0,1,25000,9,0
CUST_00308,11,7,2,2,21.8,0,5,0,3,10000,42,0
CUST_00309,21,9,12,0,25.1,3,5,1,2,250000,59,0
CUST_00310,5,1,3,1,20.3,5,2,0,4,10000,29,0
CUST_00311,12,2,2,8,27.5,0,1,1,5,75000,51,0
CUST_00312,27,24,1,2,27.0,3,5,3,1,50000,37,0
CUST_00313,22,4,17,1,24.3,3,3,0,0,50000,19,0
CUST_00314,6,4,2,0,22.2,0,4,3,2,100000,1,1
CUST_00315,5,3,1,1,28.3,5,1,0,4,10000,54,0
CUST_00316,5,4,1,0,15.6,3,4,3,0,25000,47,0
CUST_00317,8,8,0,0,21.8,1,3,3,4,50000,20,0
CUST_00318,7,0,0,7,15.4,2,5,4,3,10000,50,0
CUST_00319,17,12,4,1,4.7,3,5,4,4,250000,20,1
CUST_00320,30,26,1,3,26.7,5,2,1,5,75000,13,0
CUST_00321,22,13,5,4,29.0,2,5,1,2,25000,31,0
CUST_00322,12,3,6,3,19.2,0,0,0,1,500000,35,0
CUST_00323,23,9,12,2,4.3,3,4,3,4,250000,5,1
CUST_00324,20,7,4,9,24.3,1,3,1,4,500000,42,0
CUST_00325,17,8,8,1,15.8,0,5,3,0,75000,42,0
CUST_00326,8,7,0,1,20.8,1,4,3,1,25000,19,0
CUST_00327,26,13,8,5,4.2,5,3,2,2,250000,23,0
CUST_00328,19,14,3,2,29.0,5,2,1,0,50000,29,0
CUST_00329,23,19,4,0,16.4,2,1,0,5,250000,17,0
CUST_00330,19,9,10,0,23.3,4,4,1,2,10000,22,0
CUST_00331,9,6,3,0,22.5,3,2,0,5,50000,49,0
CUST_00332,9,2,7,0,27.8,0,1,1,0,10000,0,0
CUST_00333,27,0,7,20,25.1,0,3,2,5,50000,22,0
CUST_00334,5,0,5,0,23.4,3,2,0,1,250000,15,0
CUST_00335,5,4,1,0,1.8,5,5,2,2,50000,34,0
CUST_00336,13,10,0,3,4.6,3,1,1,3,50000,15,0
CUST_00337,8,5,1,2,5.5,2,4,0,1,75000,59,0
CUST_00338,5,4,0,1,24.7,5,2,1,1,500000,23,0
CUST_00339,23,10,12,1,0.7,3,4,3,3,100000,46,0
CUST_00340,21,14,7,0,14.5,3,3,1,0,100000,8,0
CUST_00341,24,3,10,11,17.3,5,3,1,0,75000,40,0
CUST_00342,21,5,1,15,15.6,2,2,1,5,50000,21,0
CUST_00343,11,5,0,6,18.5,1,0,0,5,50000,32,0
CUST_00344,7,1,0,6,10.8,4,5,5,3,10000,35,0
CUST_00345,12,7,4,1,20.0,0,2,2,5,10000,9,1
CUST_00346,11,0,11,0,10.3,1,3,2,4,250000,43,0
CUST_00347,25,5,0,20,1.4,4,1,1,5,250000,53,0
CUST_00348,16,8,2,6,12.5,5,3,0,4,250000,7,0
CUST_00349,21,8,5,8,22.1,1,2,0,0,25000,27,0
CUST_00350,25,22,0,3,5.3,1,3,3,3,10000,57,1
CUST_00351,12,9,0,3,10.3,5,3,2,5,25000,12,0
CUST_00352,5,4,1,0,14.8,1,2,0,3,250000,39,0
CUST_00353,26,8,17,1,18.6,4,0,0,1,100000,49,0
CUST_00354,30,30,0,0,29.9,0,5,5,1,10000,18,1
CUST_00355,28,19,8,1,9.6,2,5,1,0,500000,38,0
CUST_00356,22,10,12,0,24.6,1,3,2,1,50000,46,0
CUST_00357,5,4,1,0,5.2,5,2,1,5,75000,8,0
CUST_00358,27,4,12,11,10.5,1,0,0,1,100000,20,0
CUST_00359,15,9,4,2,26.0,4,5,2,1,250000,34,0
CUST_00360,7,2,2,3,0.2,1,2,0,0,250000,56,0
CUST_00361,19,9,6,4,17.1,5,0,0,5,25000,37,0
CUST_00362,5,1,2,2,26.4,1,3,2,1,50000,53,0
CUST_00363,17,12,2,3,5.0,2,4,0,3,10000,7,1
CUST_00364,27,12,15,0,9.7,2,2,1,4,75000,1,0
CUST_00365,14,12,0,2,29.1,0,4,2,4,100000,0,0
CUST_00366,13,3,10,0,6.9,5,1,1,2,50000,1,0
CUST_00367,9,6,3,0,15.2,3,4,1,1,10000,30,0
CUST_00368,15,4,4,7,25.1,5,4,2,4,75000,12,0
CUST_00369,29,8,1,20,4.4,0,3,0,3,50000,50,0
CUST_00370,5,2,2,1,19.2,2,4,2,2,50000,41,0
CUST_00371,12,5,2,5,9.7,3,4,4,0,75000,3,1
CUST_00372,12,7,2,3,29.1,5,3,1,3,75000,23,0
CUST_00373,6,1,2,3,29.5,5,4,2,5,500000,1,0
CUST_00374,18,7,8,3,10.3,5,3,0,3,10000,30,0
CUST_00375,8,5,2,1,12.7,0,2,2,0,10000,3,1
CUST_00376,23,3,19,1,3.6,4,3,2,3,100000,9,0
CUST_00377,9,3,2,4,26.3,2,5,1,1,50000,29,0
CUST_00378,24,20,0,4,20.7,5,2,0,3,250000,17,0
CUST_00379,29,22,4,3,15.3,3,5,4,3,25000,55,0
CUST_00380,18,8,3,7,24.4,1,4,4,2,10000,5,0
CUST_00381,29,12,8,9,10.6,1,4,4,0,25000,59,0
CUST_00382,26,12,14,0,14.0,4,0,0,4,500000,36,0
CUST_00383,12,6,0,6,8.3,1,0,0,3,10000,17,0
CUST_00384,19,19,0,0,2.2,5,4,3,3,250000,13,1
CUST_00385,25,21,3,1,20.5,1,2,2,4,500000,44,0
CUST_00386,23,22,1,0,26.8,4,2,1,0,10000,41,0
CUST_00387,11,1,6,4,22.2,0,1,1,3,75000,26,0
CUST_00388,8,3,0,5,4.0,0,0,0,1,10000,12,1
CUST_00389,16,5,9,2,25.0,1,5,3,0,10000,11,0
CUST_00390,30,21,1,8,1.5,2,5,1,4,50000,13,0
CUST_00391,20,6,5,9,17.4,0,3,3,3,75000,28,1
CUST_00392,25,12,8,5,9.4,2,4,1,5,100000,37,0
CUST_00393,28,1,9,18,24.1,5,3,2,3,50000,48,0
CUST_00394,5,2,0,3,25.9,1,5,4,1,25000,30,0
CUST_00395,8,5,0,3,18.8,5,5,2,4,250000,13,0
CUST_00396,24,15,5,4,20.1,4,0,0,1,250000,20,0
CUST_00397,21,15,5,1,27.4,3,5,5,5,25000,15,0
CUST_00398,13,5,4,4,2.3,1,0,0,0,50000,14,0
CUST_00399,26,12,9,5,26.7,3,0,0,2,10000,46,0
CUST_00400,23,6,5,12,8.5,1,5,0,4,100000,51,0
CUST_00401,21,10,10,1,29.1,1,5,1,3,10000,57,0
CUST_00402,10,9,1,0,15.1,0,1,0,4,10000,53,0
CUST_00403,10,6,1,3,16.9,4,3,1,2,50000,56,0
CUST_00404,6,1,5,0,3.4,4,5,5,1,100000,21,0
CUST_00405,19,19,0,0,20.1,3,2,2,5,50000,54,0
