customer_id,total_previous_invoices,previous_paid_invoices,previous_late_invoices,previous_unresolved_invoices,avg_payment_delay_days,disputes_count,reminders_sent,reminders_responded,previous_payment_failures,previous_promises,promises_kept,promises_broken,previous_reminders_successful,customer_tenure_days,average_invoice_amount,previous_outstanding_amount,invoice_amount,days_overdue,recovered
CUST_00054,18,8,7,3,28.6,4,7,4,0,3,0,3,0,632,25000,150000,75000,58,0
CUST_00055,19,16,3,0,3.1,5,7,2,2,5,4,1,4,91,250000,0,500000,1,0
CUST_00056,30,21,0,9,7.6,0,3,0,1,4,0,4,3,1800,10000,225000,250000,3,0
CUST_00057,19,14,5,0,1.5,0,8,6,3,0,0,0,8,644,25000,0,75000,44,1
CUST_00058,26,23,0,3,2.8,2,8,8,3,2,1,1,4,851,25000,30000,75000,24,1
CUST_00059,5,3,1,1,24.5,1,2,1,2,2,1,1,0,105,250000,10000,250000,25,0
CUST_00060,13,4,5,4,27.8,3,0,0,4,3,3,0,0,1246,100000,100000,250000,34,0
CUST_00061,29,27,2,0,20.5,3,2,1,3,6,6,0,1,813,50000,0,500000,38,0
CUST_00062,9,1,7,1,3.5,4,3,1,3,3,0,3,1,1334,75000,10000,50000,27,0
CUST_00063,14,14,0,0,15.6,4,2,1,0,6,0,6,1,1720,50000,0,50000,32,0
CUST_00064,16,7,3,6,5.0,3,0,0,1,0,0,0,0,1504,250000,300000,75000,47,0
CUST_00065,17,15,1,1,20.2,1,7,4,1,2,0,2,4,896,25000,100000,100000,7,1
CUST_00066,30,26,0,4,13.0,5,7,0,1,1,1,0,7,443,50000,200000,100000,41,0
CUST_00067,30,30,0,0,24.3,4,4,0,5,3,3,0,3,345,250000,0,250000,22,0
CUST_00068,6,4,0,2,29.5,5,3,1,2,3,3,0,3,943,50000,100000,50000,55,0
CUST_00069,7,7,0,0,24.7,0,1,1,5,2,2,0,0,37,50000,0,25000,31,0
CUST_00070,28,26,1,1,16.8,5,2,2,1,6,1,5,0,1707,10000,100000,10000,9,0
CUST_00071,28,23,4,1,28.9,5,7,0,4,1,0,1,2,743,50000,100000,250000,44,0
CUST_00072,6,6,0,0,11.8,5,7,3,5,4,4,0,1,823,10000,0,100000,41,0
CUST_00073,29,20,0,9,29.9,0,2,2,1,1,0,1,1,1484,250000,225000,100000,21,0
CUST_00074,30,27,1,2,22.2,4,6,3,1,2,1,1,1,458,100000,50000,25000,21,0
CUST_00075,14,14,0,0,23.6,2,5,4,2,4,1,3,4,749,25000,0,100000,1,0
CUST_00076,14,4,7,3,18.2,2,8,1,1,3,0,3,6,919,500000,75000,100000,17,0
CUST_00077,12,10,1,1,19.7,1,2,0,1,0,0,0,2,1375,100000,10000,10000,42,0
CUST_00078,25,15,9,1,9.4,4,2,0,3,3,3,0,2,1554,500000,25000,10000,23,0
CUST_00079,11,7,4,0,24.1,5,1,0,5,6,0,6,1,660,500000,0,75000,48,0
CUST_00080,25,24,0,1,16.5,2,0,0,5,4,4,0,0,441,250000,25000,500000,31,0
CUST_00081,11,3,4,4,22.7,0,7,0,1,0,0,0,0,867,100000,200000,75000,35,0
CUST_00082,5,0,0,5,13.0,0,5,3,2,0,0,0,2,126,25000,125000,500000,19,0
CUST_00083,25,16,4,5,17.2,3,8,2,3,5,1,4,1,1244,25000,500000,500000,22,0
CUST_00084,19,18,1,0,8.7,5,4,1,5,4,0,4,0,878,500000,0,10000,51,0
CUST_00085,20,16,3,1,8.8,1,5,0,3,3,3,0,0,418,75000,100000,100000,6,0
CUST_00086,17,9,1,7,6.8,2,5,5,3,1,0,1,2,1620,50000,70000,500000,14,1
CUST_00087,21,14,1,6,27.3,2,6,0,3,6,2,4,6,807,100000,150000,100000,56,0
CUST_00088,25,23,0,2,21.3,3,0,0,1,3,1,2,0,1788,75000,100000,100000,2,1
CUST_00089,9,8,0,1,6.4,0,4,2,4,6,3,3,4,1052,500000,25000,10000,38,1
CUST_00090,8,8,0,0,25.9,5,5,0,1,1,0,1,4,1744,500000,0,10000,36,0
CUST_00091,15,7,2,6,29.4,4,2,2,0,3,1,2,0,1127,75000,60000,10000,5,0
CUST_00092,9,5,3,1,4.6,2,2,1,2,5,1,4,2,798,10000,50000,500000,23,0
CUST_00093,25,24,0,1,1.4,3,0,0,0,0,0,0,0,209,500000,10000,50000,18,1
CUST_00094,8,2,5,1,27.2,0,5,4,3,2,0,2,1,601,250000,50000,250000,35,0
CUST_00095,11,11,0,0,27.2,2,8,6,3,5,1,4,0,1385,250000,0,25000,17,0
CUST_00096,23,16,7,0,7.9,3,5,5,4,6,0,6,4,828,500000,0,25000,0,0
CUST_00097,6,4,0,2,25.4,5,6,5,0,4,1,3,3,247,500000,50000,75000,54,0
CUST_00098,26,26,0,0,2.0,5,0,0,1,0,0,0,0,1059,250000,0,25000,1,1
CUST_00099,28,20,8,0,9.4,2,2,1,3,5,5,0,1,989,500000,0,75000,39,0
CUST_00100,11,11,0,0,10.2,3,0,0,3,6,5,1,0,254,100000,0,50000,37,0
CUST_00101,28,25,2,1,20.1,1,3,1,5,2,0,2,3,1703,25000,100000,75000,55,0
CUST_00102,12,9,3,0,19.8,2,3,0,5,2,0,2,1,1587,75000,0,500000,42,0
CUST_00103,20,13,4,3,10.0,4,1,1,1,4,4,0,1,185,10000,300000,10000,0,1
CUST_00104,18,17,0,1,11.2,0,7,4,3,0,0,0,1,1003,250000,100000,500000,30,1
CUST_00105,30,29,1,0,16.7,4,5,0,1,4,1,3,2,1600,500000,0,75000,4,0
CUST_00106,6,1,4,1,22.4,1,0,0,1,3,1,2,0,1041,100000,10000,50000,11,0
CUST_00107,24,18,5,1,29.2,2,4,3,4,6,3,3,3,155,100000,50000,75000,52,0
CUST_00108,5,0,0,5,16.6,4,7,2,3,5,3,2,2,165,500000,250000,500000,39,0
CUST_00109,17,14,2,1,0.2,5,5,3,4,0,0,0,0,1775,75000,100000,10000,36,0
CUST_00110,9,1,7,1,3.8,0,7,7,3,4,0,4,5,289,75000,10000,100000,53,0
CUST_00111,5,5,0,0,7.1,5,8,1,3,4,3,1,4,1154,500000,0,50000,48,0
CUST_00112,26,22,3,1,10.7,4,8,6,1,2,0,2,1,1416,250000,50000,500000,24,0
CUST_00113,20,10,10,0,18.1,5,1,1,2,3,1,2,0,192,100000,0,500000,35,0
CUST_00114,26,16,3,7,18.7,3,8,6,4,2,0,2,6,353,500000,700000,25000,14,1
CUST_00115,6,4,1,1,14.0,1,7,4,2,0,0,0,5,712,25000,25000,75000,20,0
CUST_00116,30,21,6,3,27.7,3,0,0,3,1,1,0,0,1085,50000,300000,250000,37,0
CUST_00117,16,8,3,5,27.4,2,5,3,1,0,0,0,0,1532,500000,250000,100000,50,0
CUST_00118,22,21,1,0,29.9,3,1,1,5,0,0,0,0,480,250000,0,250000,50,0
CUST_00119,25,20,4,1,26.9,1,2,2,2,1,0,1,0,1361,75000,50000,250000,12,1
CUST_00120,9,9,0,0,9.3,2,2,2,4,0,0,0,2,565,500000,0,75000,43,1
CUST_00121,23,19,0,4,7.2,5,3,2,3,5,4,1,0,283,50000,40000,250000,41,0
CUST_00122,18,12,3,3,8.7,4,1,1,4,3,2,1,1,421,25000,30000,10000,59,0
CUST_00123,14,14,0,0,1.5,1,0,0,4,1,1,0,0,1634,250000,0,100000,45,0
CUST_00124,20,16,0,4,1.0,4,6,2,5,4,4,0,6,917,100000,400000,50000,7,1
CUST_00125,28,27,1,0,20.9,1,4,3,4,6,0,6,0,1195,500000,0,10000,21,0
CUST_00126,19,11,4,4,24.4,3,7,3,4,0,0,0,7,1265,50000,400000,250000,53,0
CUST_00127,22,21,0,1,10.5,4,6,0,1,1,1,0,3,1357,100000,25000,75000,31,0
CUST_00128,29,29,0,0,9.8,3,6,6,1,0,0,0,0,346,10000,0,75000,38,1
CUST_00129,5,1,3,1,11.2,5,6,6,3,2,1,1,1,1774,250000,25000,10000,26,0
CUST_00130,14,14,0,0,5.3,2,6,1,3,4,3,1,1,536,50000,0,50000,36,0
CUST_00131,8,8,0,0,25.0,0,3,0,5,6,4,2,1,112,75000,0,250000,32,0
CUST_00132,30,24,5,1,21.0,5,8,2,3,5,3,2,8,809,500000,100000,75000,46,0
CUST_00133,27,24,0,3,7.0,3,8,7,0,3,0,3,3,847,50000,30000,50000,24,1
CUST_00134,22,15,5,2,25.9,5,4,1,2,4,3,1,0,104,500000,20000,250000,13,0
CUST_00135,16,10,3,3,7.3,4,2,0,4,3,2,1,0,1028,100000,300000,10000,51,0
CUST_00136,28,19,9,0,27.4,1,4,1,3,4,1,3,3,1150,500000,0,100000,10,0
CUST_00137,30,30,0,0,9.4,3,7,7,5,1,1,0,2,1668,25000,0,500000,55,0
CUST_00138,11,7,2,2,0.3,4,3,3,0,6,2,4,0,460,10000,50000,25000,14,0
CUST_00139,27,18,6,3,29.1,3,1,1,5,0,0,0,0,1470,75000,30000,75000,60,0
CUST_00140,7,3,2,2,14.0,5,6,3,2,5,1,4,5,143,500000,20000,250000,44,0
CUST_00141,10,0,1,9,4.6,3,4,2,2,4,4,0,4,54,50000,900000,500000,53,0
CUST_00142,22,16,6,0,8.6,5,2,1,2,4,4,0,1,1449,10000,0,50000,2,1
CUST_00143,9,9,0,0,0.3,4,8,6,2,2,0,2,6,1119,500000,0,250000,14,1
CUST_00144,17,16,0,1,10.6,3,6,5,4,5,2,3,3,1356,500000,100000,50000,7,1
CUST_00145,24,22,2,0,11.3,1,2,1,4,4,2,2,1,254,10000,0,500000,24,0
CUST_00146,20,19,1,0,2.4,0,7,0,2,5,0,5,2,902,500000,0,100000,53,0
CUST_00147,14,13,0,1,20.5,3,2,2,5,4,3,1,0,382,250000,10000,100000,56,0
CUST_00148,28,26,0,2,28.9,2,1,0,2,0,0,0,1,159,500000,50000,25000,36,0
CUST_00149,19,9,6,4,24.7,2,1,1,1,5,0,5,1,1207,500000,100000,50000,6,0
CUST_00150,24,20,4,0,3.4,1,3,0,2,4,3,1,2,759,25000,0,50000,7,1
CUST_00151,26,20,2,4,7.9,5,0,0,3,0,0,0,0,1398,500000,400000,10000,16,0
CUST_00152,19,14,0,5,11.1,3,6,4,2,6,6,0,1,1760,75000,250000,500000,19,0
CUST_00153,29,24,0,5,3.9,4,1,1,0,2,1,1,0,1339,10000,125000,250000,29,1
CUST_00154,17,13,4,0,20.0,1,7,4,5,4,1,3,6,205,500000,0,10000,14,0
CUST_00155,19,14,0,5,28.5,0,3,1,4,1,0,1,2,793,75000,250000,250000,53,0
CUST_00156,28,25,2,1,25.3,4,7,0,0,3,0,3,7,1314,50000,50000,10000,45,0
CUST_00157,6,6,0,0,16.9,2,7,1,5,6,2,4,5,1800,250000,0,10000,36,0
CUST_00158,11,1,3,7,22.0,5,1,0,3,2,1,1,0,1090,100000,700000,10000,0,0
CUST_00159,13,12,0,1,22.7,1,1,0,2,3,3,0,1,665,10000,10000,250000,20,0
CUST_00160,5,5,0,0,0.7,4,1,0,0,6,2,4,1,1453,50000,0,250000,4,0
CUST_00161,27,18,9,0,8.4,1,3,2,0,3,3,0,1,333,50000,0,100000,37,1
CUST_00162,20,20,0,0,18.0,0,5,1,3,0,0,0,0,454,250000,0,50000,31,0
CUST_00163,21,12,4,5,8.1,1,0,0,5,2,2,0,0,1198,10000,250000,250000,54,0
CUST_00164,29,25,0,4,8.0,5,7,2,2,1,1,0,4,536,500000,100000,250000,44,0
CUST_00165,8,0,7,1,3.9,5,1,1,2,3,1,2,0,692,500000,50000,25000,16,0
CUST_00166,19,16,0,3,24.1,3,1,1,3,2,0,2,1,1706,10000,300000,75000,11,0
CUST_00167,10,2,5,3,18.1,5,0,0,0,6,5,1,0,198,75000,30000,75000,18,0
CUST_00168,18,10,0,8,7.3,4,2,0,1,1,0,1,2,1635,250000,200000,75000,17,0
CUST_00169,28,19,9,0,4.2,1,1,0,1,3,2,1,1,1232,500000,0,500000,29,0
CUST_00170,6,0,2,4,13.8,1,2,2,5,6,0,6,1,1102,10000,400000,250000,24,0
CUST_00171,9,0,4,5,7.9,3,3,1,1,1,1,0,0,216,500000,500000,25000,15,0
CUST_00172,17,14,1,2,5.3,4,5,4,4,3,1,2,4,1627,250000,100000,100000,20,1
CUST_00173,10,6,0,4,11.3,0,8,1,3,5,4,1,5,50,500000,400000,250000,58,0
CUST_00174,29,28,0,1,26.6,1,1,0,5,2,2,0,0,627,500000,25000,25000,25,0
CUST_00175,29,21,4,4,10.5,4,4,2,5,1,0,1,2,866,250000,40000,25000,60,0
CUST_00176,6,1,2,3,11.9,0,6,4,3,6,5,1,2,1110,50000,75000,50000,36,0
CUST_00177,30,29,1,0,1.8,2,7,0,3,0,0,0,1,797,50000,0,25000,3,1
CUST_00178,24,14,1,9,25.3,2,2,0,3,5,1,4,1,653,10000,90000,75000,50,0
CUST_00179,8,3,0,5,1.4,5,3,1,3,5,2,3,0,338,250000,500000,100000,44,0
CUST_00180,7,1,0,6,6.5,4,7,3,2,5,4,1,0,1536,75000,300000,25000,58,0
CUST_00181,11,3,4,4,19.3,2,5,1,1,1,0,1,2,709,75000,400000,10000,12,0
CUST_00182,11,3,6,2,27.8,5,3,2,1,3,2,1,2,509,10000,20000,500000,51,0
CUST_00183,18,10,0,8,9.1,5,4,1,0,5,5,0,0,855,25000,200000,250000,5,0
CUST_00184,20,19,0,1,26.7,0,2,2,0,2,1,1,2,720,100000,10000,75000,50,1
CUST_00185,29,29,0,0,7.2,3,4,2,2,5,2,3,3,484,100000,0,100000,60,0
CUST_00186,20,18,0,2,0.8,2,5,3,2,1,0,1,1,1186,75000,200000,25000,59,0
CUST_00187,23,21,2,0,24.8,3,4,2,4,5,1,4,2,1705,25000,0,25000,18,0
CUST_00188,30,25,5,0,29.8,0,1,1,3,5,5,0,0,940,500000,0,25000,2,1
CUST_00189,5,5,0,0,12.0,3,3,3,4,5,3,2,1,1740,500000,0,50000,19,0
CUST_00190,13,11,1,1,4.9,2,1,1,1,0,0,0,0,1781,50000,25000,50000,3,1
CUST_00191,13,9,0,4,16.9,3,5,4,2,5,1,4,2,1357,250000,200000,25000,49,0
CUST_00192,11,11,0,0,15.2,4,6,3,5,6,0,6,3,960,500000,0,75000,29,0
CUST_00193,30,25,4,1,25.4,0,7,6,4,5,1,4,6,261,250000,100000,500000,18,1
CUST_00194,11,3,7,1,14.8,5,7,1,1,3,3,0,4,978,75000,50000,10000,45,0
CUST_00195,26,16,2,8,23.6,5,7,0,1,0,0,0,7,836,500000,80000,100000,0,0
CUST_00196,16,14,2,0,2.5,3,1,1,3,6,3,3,0,603,500000,0,100000,60,0
CUST_00197,9,5,0,4,16.7,4,1,1,2,0,0,0,0,1595,50000,400000,50000,59,0
CUST_00198,20,17,1,2,12.4,0,4,4,4,5,2,3,2,1771,500000,20000,500000,36,1
CUST_00199,21,18,2,1,25.5,5,5,3,3,3,3,0,5,853,250000,25000,25000,56,0
CUST_00200,25,17,7,1,13.3,1,4,2,3,6,1,5,2,918,250000,100000,500000,27,0
CUST_00201,25,25,0,0,22.4,3,0,0,1,6,3,3,0,1513,100000,0,100000,53,0
CUST_00202,6,6,0,0,23.1,5,2,1,0,4,1,3,1,432,10000,0,50000,8,0
CUST_00203,11,6,3,2,27.7,3,0,0,4,6,1,5,0,1576,75000,200000,75000,50,0
CUST_00204,30,22,8,0,29.6,4,5,1,4,2,1,1,3,823,250000,0,10000,56,0
CUST_00205,5,0,0,5,21.6,1,7,0,3,3,0,3,3,762,500000,500000,50000,40,0
CUST_00206,25,17,8,0,23.0,3,4,4,5,2,2,0,4,35,50000,0,75000,32,0
CUST_00207,9,4,5,0,19.6,3,7,5,5,3,3,0,4,557,50000,0,25000,3,1
CUST_00208,14,4,4,6,7.6,5,8,1,1,5,1,4,3,251,250000,300000,100000,57,0
CUST_00209,29,24,0,5,8.1,2,8,7,3,3,2,1,8,1521,500000,125000,50000,50,1
CUST_00210,7,1,0,6,9.5,2,8,1,1,5,1,4,7,1693,50000,600000,50000,42,0
CUST_00211,17,8,1,8,29.6,0,2,1,1,3,1,2,0,1461,75000,400000,100000,46,0
CUST_00212,6,3,1,2,10.1,4,4,2,4,3,1,2,3,1418,50000,200000,25000,58,0
CUST_00213,5,3,0,2,4.9,2,5,3,3,3,3,0,1,786,250000,200000,100000,13,1
CUST_00214,10,8,2,0,23.8,3,6,3,2,4,4,0,3,1485,250000,0,25000,13,1
CUST_00215,28,27,0,1,15.9,0,7,0,3,5,0,5,5,1477,75000,50000,75000,38,0
CUST_00216,21,18,1,2,8.9,4,8,0,1,4,4,0,0,1286,75000,100000,75000,15,0
CUST_00217,12,2,8,2,6.0,2,1,0,3,3,3,0,0,1319,50000,100000,75000,48,0
CUST_00218,28,25,1,2,16.3,1,4,0,5,5,4,1,4,677,50000,20000,250000,17,1
CUST_00219,24,14,3,7,21.0,1,3,1,5,1,1,0,2,252,100000,175000,100000,16,0
CUST_00220,22,16,3,3,6.4,2,0,0,2,4,1,3,0,341,100000,75000,10000,20,0
CUST_00221,24,16,1,7,26.0,5,3,3,3,5,3,2,0,1783,500000,700000,100000,6,0
CUST_00222,7,4,0,3,15.0,3,3,0,0,4,2,2,1,181,500000,300000,250000,56,0
CUST_00223,17,17,0,0,24.2,3,2,0,2,2,2,0,1,392,75000,0,75000,2,0
CUST_00224,17,14,1,2,17.9,5,0,0,3,3,0,3,0,743,250000,200000,250000,6,0
CUST_00225,19,13,2,4,7.9,1,5,5,3,4,4,0,1,804,250000,100000,100000,58,1
CUST_00226,8,7,1,0,14.4,1,2,2,2,2,1,1,2,88,500000,0,25000,3,1
CUST_00227,21,15,5,1,20.2,2,4,0,3,3,1,2,2,1753,250000,100000,75000,20,0
CUST_00228,13,3,5,5,19.9,5,5,5,1,5,2,3,5,1392,10000,500000,250000,53,0
CUST_00229,23,17,6,0,12.0,2,0,0,4,6,1,5,0,134,75000,0,25000,10,0
CUST_00230,24,22,0,2,29.7,0,8,2,5,3,0,3,8,587,500000,20000,100000,21,0
CUST_00231,22,12,4,6,6.7,0,2,0,3,0,0,0,1,1067,10000,60000,10000,0,1
CUST_00232,12,4,0,8,11.3,1,3,3,3,0,0,0,3,695,50000,400000,25000,35,0
CUST_00233,17,10,7,0,13.9,4,5,4,5,0,0,0,2,539,25000,0,75000,10,0
CUST_00234,26,18,6,2,3.0,4,4,2,3,2,0,2,1,1004,500000,100000,25000,40,0
CUST_00235,7,1,6,0,13.4,2,5,4,1,4,2,2,3,112,75000,0,25000,46,0
CUST_00236,16,10,0,6,11.2,1,4,0,0,2,2,0,4,709,75000,150000,500000,53,0
CUST_00237,27,21,4,2,12.6,5,7,2,4,5,5,0,4,1008,250000,100000,25000,55,0
CUST_00238,14,10,2,2,7.6,0,7,5,1,2,0,2,7,1519,50000,200000,50000,46,1
CUST_00239,25,25,0,0,19.4,2,7,3,0,3,1,2,2,761,75000,0,10000,40,0
CUST_00240,25,25,0,0,18.4,4,5,5,5,2,2,0,3,355,10000,0,100000,60,0
CUST_00241,6,6,0,0,23.8,4,3,0,2,0,0,0,1,791,500000,0,75000,60,0
CUST_00242,18,18,0,0,24.2,2,4,2,2,3,1,2,2,130,10000,0,100000,9,0
CUST_00243,25,23,2,0,3.2,5,7,4,1,3,1,2,0,1063,50000,0,75000,31,0
CUST_00244,25,22,2,1,1.8,0,5,1,1,0,0,0,1,1071,25000,25000,25000,31,1
CUST_00245,11,2,1,8,5.4,1,7,5,4,6,6,0,3,341,25000,200000,50000,4,1
CUST_00246,25,15,8,2,7.6,0,3,2,0,6,4,2,1,1636,500000,200000,10000,51,0
CUST_00247,29,27,1,1,22.1,4,6,6,2,3,0,3,6,1538,50000,10000,75000,26,1
CUST_00248,27,21,6,0,19.3,5,6,3,3,2,1,1,3,1451,100000,0,75000,42,0
CUST_00249,25,17,2,6,5.5,2,3,1,1,5,5,0,0,361,25000,150000,25000,12,1
CUST_00250,29,28,1,0,10.1,1,6,4,4,3,3,0,0,1456,10000,0,50000,0,1
CUST_00251,5,1,1,3,28.8,4,4,2,5,0,0,0,4,362,100000,300000,100000,55,0
CUST_00252,16,7,1,8,5.3,2,4,2,4,6,0,6,2,1667,50000,200000,25000,31,0
CUST_00253,17,8,6,3,7.3,4,5,1,2,2,1,1,3,1129,500000,75000,75000,16,0
CUST_00254,5,3,1,1,18.6,3,7,5,0,0,0,0,2,442,250000,50000,75000,1,1
CUST_00255,29,24,4,1,29.5,2,2,1,1,0,0,0,1,169,100000,25000,100000,48,0
CUST_00256,14,6,7,1,19.9,5,6,1,1,2,2,0,0,987,500000,10000,500000,17,0
CUST_00257,9,5,0,4,4.8,2,5,4,5,4,0,4,4,979,25000,200000,75000,59,0
CUST_00258,26,18,6,2,22.6,1,1,1,4,6,5,1,1,1042,50000,50000,75000,37,1
CUST_00259,9,4,4,1,5.0,4,1,1,5,5,0,5,1,1396,50000,50000,10000,19,0
CUST_00260,25,18,2,5,20.5,3,4,0,1,2,1,1,4,1751,100000,250000,10000,12,0
CUST_00261,26,26,0,0,20.6,1,5,4,3,6,2,4,0,1478,25000,0,75000,54,0
CUST_00262,6,0,1,5,1.9,0,4,0,3,4,3,1,3,1611,500000,500000,100000,45,0
CUST_00263,15,11,2,2,17.7,5,7,0,2,4,2,2,7,527,250000,100000,500000,55,0
CUST_00264,12,4,3,5,4.6,3,5,0,3,6,1,5,1,74,10000,250000,75000,52,0
CUST_00265,20,14,0,6,3.4,2,2,0,5,1,0,1,0,581,10000,300000,250000,41,0
CUST_00266,13,12,0,1,17.6,3,7,0,5,6,1,5,0,133,100000,25000,100000,3,0
CUST_00267,18,14,0,4,29.5,2,2,1,0,5,0,5,2,1286,10000,400000,10000,45,0
CUST_00268,8,3,5,0,10.7,2,0,0,3,6,4,2,0,1157,10000,0,500000,52,0
CUST_00269,15,6,2,7,16.2,2,0,0,0,3,2,1,0,576,10000,350000,50000,26,0
CUST_00270,30,29,1,0,25.2,0,3,1,3,4,3,1,0,1333,75000,0,75000,39,0
CUST_00271,21,18,3,0,28.7,5,8,1,1,1,1,0,1,1058,50000,0,100000,33,0
CUST_00272,10,8,2,0,29.6,4,1,1,0,2,0,2,0,534,50000,0,100000,15,0
